,stock_id
0,0050
1,0051
2,0052
3,0053
4,0054
5,0055
6,0056
7,0057
8,0058
9,0059
10,0060
11,0061
12,006201
13,006203
14,006204
15,006205
16,006206
17,006207
18,006208
19,00625K
20,00631L
21,00632R
22,00633L
23,00634R
24,00635U
25,00636
26,00636K
27,00637L
28,00638R
29,00639
30,00640L
31,00641R
32,00642U
33,00643
34,00643K
35,00645
36,00646
37,00647L
38,00648R
39,00649
40,00650L
41,00651R
42,00652
43,00653L
44,00654R
45,00655L
46,00656R
47,00657
48,00657K
49,00658L
50,00659R
51,00660
52,00661
53,00662
54,00663L
55,00664R
56,00665L
57,00666R
58,00667
59,00668
60,00668K
61,00669R
62,00670L
63,00671R
64,00672L
65,00673R
66,00674R
67,00675L
68,00676R
69,00677U
70,00678
71,00679B
72,00680L
73,00681R
74,00682U
75,00683L
76,00684R
77,00685L
78,00686R
79,00687B
80,00688L
81,00689R
82,00690
83,00691R
84,00692
85,00693U
86,00694B
87,00695B
88,00696B
89,00697B
90,00698L
91,00699R
92,00700
93,00701
94,00702
95,00703
96,00704L
97,00705R
98,00706L
99,00707R
100,00708L
101,00709
102,00710B
103,00711B
104,00712
105,00713
106,00714
107,00715L
108,00716R
109,00717
110,00718B
111,00719B
112,00720B
113,00721B
114,00722B
115,00723B
116,00724B
117,00725B
118,00726B
119,00727B
120,00728
121,00729R
122,00730
123,00731
124,00732
125,00733
126,00734B
127,00735
128,00736
129,00737
130,00738U
131,00739
132,00740B
133,00741B
134,00742
135,00743
136,00744B
137,00745B
138,00746B
139,00747B
140,00748B
141,00749B
142,00750B
143,00751B
144,00752
145,00753L
146,00754B
147,00755B
148,00756B
149,00757
150,00758B
151,00759B
152,00760B
153,00761B
154,00762
155,00763U
156,00764B
157,00765B
158,00766L
159,00767
160,00768B
161,00770
162,00771
163,00772B
164,00773B
165,00774B
166,00774C
167,00775B
168,00776
169,00777B
170,00778B
171,00779B
172,00780B
173,00781B
174,00782B
175,00783
176,00784B
177,00785B
178,00786B
179,00787B
180,00788B
181,00789B
182,00790B
183,00791B
184,00792B
185,00793B
186,00794B
187,00795B
188,00796B
189,00798B
190,00799B
191,0080
192,0081
193,008201
194,00830
195,00831B
196,00832B
197,00833B
198,00834B
199,00835B
200,00836B
201,00837B
202,00838B
203,00839B
204,00840B
205,00841B
206,00842B
207,00843B
208,00844B
209,00845B
210,00846B
211,00847B
212,00848B
213,00849B
214,00850
215,00851
216,00852L
217,00853B
218,00854B
219,00855B
220,00856B
221,00857B
222,00858
223,00859B
224,00860B
225,00861
226,00862B
227,00863B
228,00864B
229,00865B
230,00866
231,00867B
232,00868B
233,00869B
234,00870B
235,00871B
236,00872B
237,00873B
238,00874B
239,00875
240,00876
241,00877
242,00878
243,00879B
244,00880B
245,00881
246,00882
247,00883B
248,00884B
249,00885
250,00886
251,00887
252,00888
253,00889B
254,00890B
255,00891
256,00892
257,00893
258,00894
259,00895
260,00896
261,00897
262,00898
263,00899
264,00900
265,00901
266,00902
267,00903
268,00904
269,00905
270,00906
271,00907
272,00908
273,00909
274,00910
275,00911
276,00912
277,00913
278,00915
279,00916
280,00917
281,00918
282,00919
283,00920
284,00921
285,00922
286,00923
287,00924
288,00925
289,00926
290,00927
291,00928
292,00929
293,00930
294,00931B
295,00932
296,00933B
297,00934
298,00935
299,00936
300,00937B
301,00939
302,00941
303,01001T
304,01002T
305,01003T
306,01004T
307,01005T
308,01007T
309,01008T
310,01009T
311,020000
312,020001
313,020002
314,020003
315,020004
316,020005
317,020006
318,020007
319,020008
320,020009
