date,open,close
2010-01-04,12.15,12.25
2010-01-05,12.35,12.5
2010-01-06,12.6,12.55
2010-01-08,12.55,12.75
2010-01-11,12.7,13.15
2010-01-12,13.2,13
2010-01-13,12.85,12.5
2010-01-14,12.5,12.65
2010-01-15,12.75,12.85
2010-01-18,12.65,12.75
2010-01-19,12.85,12.5
2010-01-20,12.75,12.6
2010-01-21,12.6,12.55
2010-01-22,12.35,12.2
2010-01-25,12.1,11.85
2010-01-26,11.85,11.3
2010-01-27,11.3,11.25
2010-01-28,11.3,11.4
2010-01-29,11.3,11.5
2010-02-01,11.45,11.2
2010-02-02,11.3,10.85
2010-02-03,11,10.8
2010-02-04,10.9,10.95
2010-02-05,10.8,10.55
2010-02-08,10.3,10.15
2010-02-09,10,10.2
2010-02-10,10.4,10.65
2010-02-22,10.9,10.9
2010-02-23,10.85,11.4
2010-02-24,11.4,11.5
2010-02-25,11.55,11.25
2010-02-26,11.25,11.3
2010-03-01,11.5,11.5
2010-03-02,11.6,11.55
2010-03-03,11.55,11.7
2010-03-04,11.7,12.15
2010-03-05,12.45,12.3
2010-03-08,12.5,12.5
2010-03-09,12.5,12.35
2010-03-10,12.35,12.1
2010-03-11,12.1,12.1
2010-03-12,12.15,12.1
2010-03-15,12.1,12
2010-03-16,12.1,12.15
2010-03-17,12.25,12.35
2010-03-18,12.35,12.35
2010-03-19,12.5,12.45
2010-03-22,12.45,12.3
2010-03-23,12.4,12.15
2010-03-24,12.3,12.2
2010-03-25,12.2,12.15
2010-03-26,12,12.1
2010-03-29,12.1,12.1
2010-03-30,12,12.2
2010-03-31,12,11.9
2010-04-01,11.7,11.8
2010-04-02,11.85,12.1
2010-04-06,11.55,12.1
2010-04-07,12.1,12
2010-04-08,11.9,12
2010-04-09,12,12.1
2010-04-12,12.1,12.1
2010-04-13,12.1,11.95
2010-04-14,12,11.95
2010-04-15,12.05,12.65
2010-04-16,12.8,12.6
2010-04-19,12.5,12.2
2010-04-20,12.35,12.25
2010-04-21,12.25,12.3
2010-04-22,12.3,12.3
2010-04-23,12.4,12.35
2010-04-26,12.5,12.6
2010-04-27,12.65,12.45
2010-04-28,12.1,12.25
2010-04-29,12.25,12.35
2010-04-30,12.65,12.9
2010-05-03,12.95,12.75
2010-05-04,12.9,12.55
2010-05-05,12.2,11.8
2010-05-06,11.65,11.5
2010-05-07,11.3,12
2010-05-10,12.15,12.5
2010-05-11,12.7,12.2
2010-05-12,12.4,12.75
2010-05-13,13.05,12.8
2010-05-14,12.8,13.25
2010-05-17,13.2,12.95
2010-05-18,13.05,13
2010-05-19,13,13.4
2010-05-20,13.4,12.9
2010-05-21,12.4,12.45
2010-05-24,12.55,12.6
2010-05-25,12.6,12.4
2010-05-26,12.5,12.65
2010-05-27,12.55,12.65
2010-05-28,12.8,13.1
2010-05-31,13.1,13.1
2010-06-01,13,12.7
2010-06-02,12.5,12.5
2010-06-03,13.25,12.85
2010-06-04,12.85,12.85
2010-06-07,12.45,12.55
2010-06-08,12.5,12.7
2010-06-09,12.75,12.5
2010-06-10,12.7,12.55
2010-06-11,12.7,13
2010-06-14,13.1,13.05
2010-06-15,13.15,13.45
2010-06-17,13.6,13.4
2010-06-18,13.5,13.4
2010-06-21,13.95,14.3
2010-06-22,15,15.3
2010-06-23,15.5,15.55
2010-06-24,15.55,15.75
2010-06-25,15.5,15.75
2010-06-28,15.95,16.85
2010-06-29,17.15,16.1
2010-06-30,15.8,16.45
2010-07-01,16.65,17.55
2010-07-02,17.65,17.25
2010-07-05,17.25,17.2
2010-07-06,17.4,17.9
2010-07-07,18,18.9
2010-07-09,19.3,18.7
2010-07-12,18.5,17.95
2010-07-13,17.9,18
2010-07-14,18.3,19.25
2010-07-15,19.25,19.4
2010-07-16,19.5,19.7
2010-07-19,19.6,19.3
2010-07-20,19.3,18.55
2010-07-21,18.85,19.6
2010-07-22,19.8,20.5
2010-07-23,20.65,20.85
2010-07-26,20.9,21.1
2010-07-28,20.9,21.15
2010-07-29,21.2,21.5
2010-07-30,21.2,20.75
2010-08-02,20.95,21.5
2010-08-03,21.5,21
2010-08-04,21,22.3
2010-08-05,22.6,23
2010-08-06,23,22.95
2010-08-09,22.95,22.95
2010-08-10,23.05,23.95
2010-08-11,23.95,22.8
2010-08-13,22.1,22.2
2010-08-16,22.2,22.75
2010-08-17,23.5,22.15
2010-08-18,22.2,20.85
2010-08-19,20.85,20.5
2010-08-20,20.6,21.65
2010-08-23,21.65,21.35
2010-08-24,21.35,20.5
2010-08-25,20,19.3
2010-08-26,19.3,19.35
2010-08-27,19.35,19.55
2010-08-30,19.55,19.9
2010-08-31,20.4,19
2010-09-01,19.45,19.4
2010-09-02,19.75,20.05
2010-09-03,20.9,20.35
2010-09-06,20.5,20
2010-09-07,19.95,20
2010-09-08,20,19.2
2010-09-09,19,18.25
2010-09-10,18.8,18.95
2010-09-13,19.1,19.5
2010-09-14,19.85,20.1
2010-09-15,20.1,20.1
2010-09-16,20.1,19.6
2010-09-17,19.9,20.95
2010-09-20,21,21.1
2010-09-21,21.5,20.55
2010-09-23,20.45,20.1
2010-09-24,20.1,20.35
2010-09-27,20.6,20.35
2010-09-28,20.35,20
2010-09-29,20.2,20.45
2010-09-30,20.55,20.05
2010-10-01,20.1,20
2010-10-04,20,19.95
2010-10-05,20.6,21.3
2010-10-06,21.85,22
2010-10-07,22,21.5
2010-10-08,21.5,21.55
2010-10-11,21.8,21.8
2010-10-12,21.8,21.25
2010-10-13,21.25,20.5
2010-10-14,20.65,20.65
2010-10-15,20.65,20.75
2010-10-18,20.5,20.15
2010-10-20,20.2,20.4
2010-10-21,20.4,20.85
2010-10-22,20.95,21.15
2010-10-25,21.4,22
2010-10-26,22.2,21.7
2010-10-27,21.8,22.8
2010-10-28,22.8,22.8
2010-10-29,23.5,23.3
2010-11-01,23.65,24.15
2010-11-02,24.15,23.55
2010-11-03,23.95,23.65
2010-11-05,24.15,23.1
2010-11-08,23,23.1
2010-11-09,23.1,23.15
2010-11-10,23.2,22.55
2010-11-11,22.55,22.75
2010-11-12,22.65,22.45
2010-11-15,22.45,22.45
2010-11-16,22.55,22.05
2010-11-17,21.8,21.85
2010-11-18,22,23.2
2010-11-19,23.6,23.3
2010-11-22,23.55,23.8
2010-11-23,24.1,24.2
2010-11-25,24.1,23.95
2010-11-26,23.75,23.2
2010-11-29,23.6,23.55
2010-11-30,23.75,24.15
2010-12-01,24.3,24.25
2010-12-02,24.5,24.75
2010-12-03,24.95,24.6
2010-12-06,24.6,24.7
2010-12-07,24.7,24.3
2010-12-08,24.3,23.9
2010-12-09,24.2,24.15
2010-12-10,24.2,24.4
2010-12-13,24.5,24.3
2010-12-14,24.4,24.1
2010-12-15,24.2,24.2
2010-12-16,24.3,24.55
2010-12-17,24.65,24.35
2010-12-20,24.35,23.95
2010-12-21,24.1,24.5
2010-12-22,24.6,25
2010-12-23,25.3,25.15
2010-12-24,25.15,25
2010-12-27,25,25.8
2010-12-28,25.9,25.8
2010-12-29,26.15,27.6
2010-12-30,27.85,28.65
2010-12-31,28.9,28.25
2011-01-03,28.8,30.05
2011-01-04,30.4,30.1
2011-01-05,30.1,28.9
2011-01-06,28.9,29.7
2011-01-07,29.5,28.8
2011-01-10,29,29.8
2011-01-11,29.8,30.3
2011-01-12,30.5,30.15
2011-01-13,30.3,30.6
2011-01-14,30.55,29.9
2011-01-17,29.6,28.6
2011-01-18,28.2,28.7
2011-01-19,28.85,28.95
2011-01-20,29,29.05
2011-01-21,28.9,28.75
2011-01-24,28.9,28.6
2011-01-25,28.75,28.85
2011-01-26,29.1,28.85
2011-01-27,29.1,29.5
2011-01-28,29.5,29.3
2011-02-08,29.5,28.45
2011-02-09,28.35,28.4
2011-02-10,28.4,27.15
2011-02-11,27,26.1
2011-02-14,26.5,27.65
2011-02-15,27.6,27.3
2011-02-16,27.3,27.2
2011-02-17,27.2,26.25
2011-02-18,26.4,26.4
2011-02-21,26.45,26.45
2011-02-22,25.9,25.2
2011-02-23,24.7,24.75
2011-02-24,24.75,24.8
2011-02-25,25.2,25.1
2011-03-01,25.4,26.2
2011-03-02,25.5,25.6
2011-03-03,25.8,25.8
2011-03-04,26.1,26.05
2011-03-07,25.85,25.05
2011-03-08,24.75,24.85
2011-03-09,25.25,25.1
2011-03-10,25.15,25
2011-03-11,25,25.6
2011-03-14,25.2,24.25
2011-03-15,24.3,22.75
2011-03-16,23.2,22.65
2011-03-17,22.05,23
2011-03-18,23.2,23.2
2011-03-21,23.3,23.6
2011-03-22,23.7,24.15
2011-03-23,24.3,24.05
2011-03-24,24.35,24.2
2011-03-25,24.35,24.2
2011-03-28,24,23.55
2011-03-29,23.2,23.2
2011-03-30,23.4,23.35
2011-03-31,23.35,23
2011-04-01,23,23.15
2011-04-06,23.2,22.85
2011-04-07,22.85,24.15
2011-04-08,24.1,24.1
2011-04-11,23.7,23.5
2011-04-12,23.55,23.65
2011-04-13,23.9,24.9
2011-04-15,24.85,23.9
2011-04-18,24,23.8
